Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_root
rat catcher,590,2.88,0.87,4080000,"0.25,0.31,0.31,0.37,0.25,0.25,0.31,0.37,0.25,0.46,0.25,0.46","1,3",22,rat control perth
rat removal,590,2.99,0.65,95700000,"0.13,0.13,0.30,0.36,0.30,1.00,0.76,1.00,0.55,0.55,0.55,1.00",1,30,rat control perth
rodent exterminator,590,3.72,0.89,0,"0.36,0.76,0.45,0.76,0.36,0.30,0.30,0.55,0.20,0.16,0.36,0.24",0,11,rat control perth
ant control perth,480,4.23,0.57,1630000,"0.36,0.54,0.54,0.29,0.23,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,14,rat control perth
mice exterminator near me,480,4.36,0.96,2260000,"0.30,0.20,0.20,0.16,0.10,0.13,0.10,1.00,0.67,0.67,0.06,0.10",3,29,rat control perth
pest control for rats,480,3.32,0.78,24900000,"0.23,0.54,0.66,0.66,0.36,1.00,1.00,0.81,0.54,1.00,0.66,1.00",0,28,rat control perth
pest control perth wa,480,3.6,0.81,127,"0.16,0.34,0.08,0.16,0.11,0.24,0.16,0.11,0.13,0.08,0.11,0.08",0,43,rat control perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,spider control perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,spider control perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,spider control perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,spider control perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,spider control perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,spider control perth
spider control,1300,2.9,0.57,203,"0.16,0.16,0.13,0.16,0.10,0.79,0.79,1.00,1.00,0.66,0.79,0.79",0,20,spider control perth
spider pest control,1300,3.04,0.73,35400000,"0.25,0.20,0.37,0.25,0.20,0.84,0.84,1.00,0.84,1.00,0.84,1.00",1,24,spider control perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,spider control perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,spider control perth
termico,880,3.33,0.21,149000000,"0.62,0.62,0.55,0.55,0.45,0.55,0.45,0.55,0.62,0.62,0.45,0.62","2,0",22,spider control perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,spider control perth
exterminator service near me,720,4.44,0.34,131,"0.84,0.84,1.00,0.46,0.31,0.02,0.02,0.02,0.03,0.04,0.01,0.01",3,39,spider control perth
pest control in perth,720,3.6,0.81,127,"0.52,0.46,1.00,0.52,0.08,0.16,0.16,0.31,0.13,0.13,0.13,0.52",0,55,spider control perth
pest services perth,720,3.6,0.81,7520000,"0.04,0.08,0.08,0.03,0.07,0.01,0.44,0.03,0.07,0.66,1.00,0.80",0,46,spider control perth
spider exterminator,720,3.2,0.68,2170000,"0.88,0.59,0.59,0.59,0.48,0.39,0.39,1.00,0.72,0.59,0.88,0.88",0,24,spider control perth
local pest control,590,5.24,0.78,121000000,"0.30,0.30,0.55,0.16,0.20,0.55,0.45,0.45,0.36,0.45,0.36,0.55",1,34,spider control perth
perth rodent control,590,3.6,0.81,241,"0.16,0.54,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,16,spider control perth
pest control perth wa,480,3.6,0.81,127,"0.16,0.34,0.08,0.16,0.11,0.24,0.16,0.11,0.13,0.08,0.11,0.08",0,43,spider control perth
pest removal perth,480,3.6,0.81,1400000,"0.34,0.44,0.13,0.13,0.30,0.08,0.11,0.05,0.07,0.11,0.08,0.07",0,51,spider control perth
termite inspection perth,480,6.2,0.72,257000,"0.29,0.29,0.29,0.36,0.23,0.81,1.00,1.00,1.00,1.00,1.00,1.00",0,32,spider control perth
affordable pest control,390,2.47,0.53,177,"0.54,0.66,0.54,0.54,0.44,1.00,0.81,0.66,0.81,0.66,0.54,0.81",0,29,spider control perth
ant exterminators,390,3.31,0.87,141,"0.81,1.00,0.81,0.66,0.44,0.44,0.44,0.81,0.54,0.44,0.54,1.00",0,16,spider control perth
pest control armadale,390,3.84,0.8,178000,"0.13,0.16,0.16,0.06,0.05,0.30,0.30,0.36,0.45,0.36,0.55,0.55",0,6,spider control perth
spider treatment,390,3.44,0.98,111000000,"0.14,0.14,0.14,0.09,0.07,0.88,0.72,0.88,1.00,0.32,0.32,0.72",1,21,spider control perth
pest control termites near me,320,6.06,0.86,224,"0.00,0.00,0.00,0.00,0.00,0.01,0.20,1.00,0.02,0.02,0.02,0.02",3,39,spider control perth
spider and pest control,320,3.04,0.73,30700000,"0.24,0.67,0.01,0.08,0.00,0.13,0.10,0.10,0.10,0.10,0.13,0.16",0,17,spider control perth
spider removal,320,3.07,0.91,0,"0.15,0.12,0.10,0.07,0.03,0.81,0.81,0.67,0.54,0.54,0.44,1.00",1,20,spider control perth
spiders in perth,320,0.31,0.01,1580000,"0.54,0.44,0.66,0.35,0.28,0.28,0.18,0.35,0.54,0.81,1.00,1.00",1,14,spider control perth
spiders in perth wa,320,0.31,0.01,667000,"0.54,0.66,0.66,0.35,0.23,0.23,0.23,0.23,0.18,0.81,1.00,1.00",1,11,spider control perth
