Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_root
do american cockroaches bite,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.00,0.00,0.00,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
do american cockroaches fly,20,0,0.33,0,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0,american cockroach
does american cockroach fly,20,0,0.33,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0,american cockroach
how do i get rid of american cockroach,20,0.66,0.86,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
how do i get rid of american cockroaches,20,1.19,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
how do you kill american cockroaches,20,0,0.89,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
how long do american cockroaches live,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
how long does an american cockroach live,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
how to get rid of american cockroach,20,1.19,0.33,0,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",,0,american cockroach
is american cockroach dangerous,20,0,0,0,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0,american cockroach
what are american cockroaches,20,0,0.33,0,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",,0,american cockroach
what attracts american cockroaches,20,0,0.33,0,"0.28,0.28,0.28,0.28,0.28,0.00,0.00,0.28,0.28,0.28,0.28,0.28",,0,american cockroach
what do american cockroaches eat,20,0,0.33,0,"0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66",,0,american cockroach
what do american cockroaches look like,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.66",,0,american cockroach
what does american cockroach look like,20,0,0.33,0,"1.00,0.25,0.25,0.50,0.50,0.50,0.00,0.00,0.50,0.50,0.50,0.50",,0,american cockroach
what does an american cockroach look like,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.66",,0,american cockroach
where do american cockroaches come from,20,0,0.33,0,"0.66,0.66,0.66,0.00,0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.66",,0,american cockroach
where do american cockroaches live,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66",,0,american cockroach
are american cockroaches attracted to light,10,0,0,0,"1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00",,0,american cockroach
are american cockroaches dangerous,10,0,0.33,0,"0.66,0.66,0.00,0.66,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.66",,0,american cockroach
are american cockroaches hard to get rid of,10,0,0.05,0,"0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50",,0,american cockroach
are american cockroaches harmful,10,0,0.33,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00",,0,american cockroach
are american cockroaches invasive,10,0,0.33,0,"1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0,american cockroach
what do cockroach eggs look like,320,0,0,136,"0.66,0.66,0.81,0.44,0.28,0.28,0.23,0.35,0.44,0.54,0.81,1.00",1,9,cockroach eggs
do cockroaches lay eggs,140,0,0,132,"0.13,0.13,0.13,0.06,0.05,0.05,0.03,0.06,0.08,0.13,0.13,0.16",1,7,cockroach eggs
how long does a cockroach egg take to hatch,90,0,0,730000,"1.00,0.78,0.64,0.50,0.35,0.35,0.35,0.35,0.50,0.64,0.64,0.78",1,28,cockroach eggs
how long does it take a cockroach egg to hatch,90,0,0,688000,"1.00,0.78,0.64,0.50,0.35,0.35,0.35,0.35,0.50,0.64,0.64,0.78",1,13,cockroach eggs
how long does it take cockroach eggs to hatch,90,0,0,118,"1.00,0.78,0.64,0.50,0.35,0.35,0.35,0.35,0.50,0.64,0.64,0.78",1,17,cockroach eggs
how long does it take for cockroach eggs to hatch,90,0,0,1080000,"1.00,1.00,0.81,0.63,0.45,0.45,0.45,0.45,0.63,0.81,1.00,1.00",1,21,cockroach eggs
how long do cockroach eggs take to hatch,70,0,0,1100000,"1.00,0.81,0.81,0.45,0.45,0.45,0.45,0.45,0.45,1.00,0.81,1.00",1,28,cockroach eggs
does cockroach spray kill eggs,50,0,0.33,0,"0.14,0.14,1.00,1.00,0.14,1.00,0.14,0.14,0.00,0.00,0.50,0.14",,0,cockroach eggs
how many cockroaches in an egg,50,0,0.33,129,"1.00,1.00,1.00,0.36,0.27,0.18,0.18,0.18,0.45,0.27,0.45,1.00",1,26,cockroach eggs
what does cockroach eggs look like,50,0,0.33,0,"0.35,0.35,0.35,0.28,0.21,0.21,0.07,0.35,0.35,0.50,0.78,1.00",,0,cockroach eggs
where do cockroaches lay eggs,50,0,0.33,134,"0.52,0.52,0.23,0.23,0.09,0.09,0.14,0.14,0.23,0.19,0.33,0.52",1,11,cockroach eggs
how many eggs can a cockroach lay in a day,40,0,0.33,0,"0.71,0.71,0.71,0.42,0.28,0.28,0.28,0.42,0.42,0.42,0.57,0.71",,0,cockroach eggs
how to kill cockroach eggs,40,0,0,0,"1.00,1.00,0.40,0.40,0.40,0.40,0.60,0.60,0.80,1.00,0.80,1.00",,0,cockroach eggs
how do you get rid of cockroach eggs,30,0,0.38,0,"0.23,0.11,0.11,0.82,0.23,0.11,0.11,0.11,0.11,0.11,0.00,0.11",,0,cockroach eggs
how do you kill cockroach eggs,30,0,0.33,0,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0,cockroach eggs
how many eggs cockroach lay,30,0,0.33,0,"0.40,0.40,0.40,0.40,0.40,0.60,0.60,0.80,0.60,0.60,0.40,0.40",,0,cockroach eggs
how many eggs do cockroaches lay,30,0,0.33,0,"0.57,0.71,0.57,0.42,0.14,0.28,0.14,0.42,0.57,0.57,0.42,0.71",,0,cockroach eggs
how many eggs does a cockroach lay,30,0,0.33,0,"0.27,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.18,0.18",,0,cockroach eggs
how often does cockroaches lay eggs,30,0,0.33,0,"0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0,cockroach eggs
how often to cockroaches lay eggs,30,0,0.33,0,"0.18,0.63,0.18,0.18,1.00,0.18,0.00,0.00,0.18,0.00,0.18,0.18",,0,cockroach eggs
how to destroy cockroach eggs,30,0,0.33,0,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0,cockroach eggs
how to get rid of cockroach eggs,30,1,0.33,0,"0.55,0.55,0.44,0.33,0.22,0.22,0.22,0.22,0.22,0.22,0.33,0.44",,0,cockroach eggs
what do cockroaches eggs look like,30,0,0.33,0,"0.09,0.09,0.18,0.09,0.09,0.27,0.18,0.36,0.27,0.45,0.45,0.45",,0,cockroach eggs
are cockroach eggs dangerous,20,0,0.33,0,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0,cockroach eggs
are cockroach eggs visible,20,0,0.33,0,"0.66,0.66,0.00,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66",,0,cockroach eggs
what do mouse droppings look like,390,0,0,4520000,"0.54,0.66,0.66,1.00,0.66,0.29,0.36,0.36,0.44,0.66,0.81,1.00",1,18,mouse droppings
what does mouse droppings look like,70,0,0,3550000,"0.23,1.00,0.33,0.42,0.33,0.33,0.23,0.19,0.23,0.23,0.23,0.52",1,21,mouse droppings
how to clean mouse droppings and urine,30,0,0,0,"0.14,0.14,1.00,0.14,0.00,0.00,0.14,0.14,0.14,0.14,0.00,0.14",,0,mouse droppings
what do rat and mouse droppings look like,30,0,0.33,0,"0.18,0.18,1.00,0.81,0.18,0.18,0.18,0.00,0.18,0.00,0.18,0.18",,0,mouse droppings
are mouse droppings dangerous,20,0,0.33,0,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0,mouse droppings
are mouse droppings hard,20,0,0.33,0,"0.66,0.66,0.00,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
are mouse droppings hard or soft,20,0,0.33,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.50,0.50,0.50",,0,mouse droppings
are mouse droppings harmful,20,0,0.33,0,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0,mouse droppings
are mouse droppings poisonous,20,0,0.33,0,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0,mouse droppings
are mouse droppings toxic,20,0,0.33,0,"0.66,0.66,0.00,0.66,0.00,0.66,0.00,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
are old mouse droppings dangerous,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
can mouse droppings kill you,20,0,0.33,0,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00",,0,mouse droppings
can mouse droppings make you sick,20,0,0.01,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
can you get sick from cleaning up mouse droppings,20,0,0.33,0,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00",,0,mouse droppings
can you get sick from mouse droppings,20,0,0.33,0,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",,0,mouse droppings
do mouse droppings carry disease,20,0,0.33,0,"0.00,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0,mouse droppings
do mouse droppings smell,20,0,0.33,0,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0,mouse droppings
does vinegar disinfect mouse droppings,20,0,0.33,0,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28",,0,mouse droppings
how big are mouse droppings,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
how big are rat droppings compared to mouse droppings,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66",,0,mouse droppings
how big is mouse droppings,20,0,0.33,0,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0,mouse droppings
how dangerous are mouse droppings,20,0,0.33,0,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0,mouse droppings
how dangerous is mouse droppings,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
how do i clean up mouse droppings,20,0,0.33,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0,mouse droppings
how do i drag and drop without a mouse,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,mouse droppings
do possums eat rat poison,170,0,0,0,"0.65,0.53,1.00,0.65,0.65,0.42,0.53,0.53,0.53,0.53,0.65,0.80",1,9,rat poison
will a possum eat rat poison,170,0,0,332000,"0.80,0.80,0.80,0.80,0.65,0.65,0.65,0.53,0.53,0.65,0.53,0.80",1,9,rat poison
will possums eat rat poison,170,0,0,92300,"0.35,0.35,0.66,0.43,0.43,0.28,0.35,0.35,0.35,0.35,0.43,0.53",1,12,rat poison
how long does it take rat poison to work,140,0,0.01,66000000,"0.52,0.52,1.00,1.00,0.66,0.52,0.42,0.66,0.52,0.52,0.52,0.52",1,12,rat poison
how long does rat poison take to work,140,0,0.01,66000000,"0.34,0.43,0.81,0.81,0.53,0.43,0.34,0.53,0.34,0.43,0.43,0.53",1,16,rat poison
what are the first signs of rat poison in dogs,140,0,0.02,3940000,"0.53,0.65,1.00,0.80,0.53,0.53,0.53,0.53,0.42,0.34,0.34,0.34",1,19,rat poison
how long does it take for rat poison to work,110,0,0.01,42600000,"0.52,0.66,0.66,1.00,0.66,0.52,0.42,0.52,0.33,0.52,0.66,0.66",1,18,rat poison
what happens if a dog eats rat poison,110,0.83,0.05,2630000,"0.28,0.34,0.34,0.34,0.28,0.34,0.28,0.34,0.53,0.43,0.28,0.28",1,13,rat poison
can rat poison kill a possum,90,0,0.01,340000,"0.50,0.78,1.00,0.78,0.50,0.50,0.64,0.50,0.50,0.64,0.64,0.64",1,8,rat poison
can rat poison kill possums,90,0,0.01,0,"0.50,0.78,1.00,0.78,0.50,0.50,0.64,0.50,0.50,0.64,0.64,0.64",1,10,rat poison
do rat poison kill possums,90,0,0.01,173000,"0.41,0.64,0.82,0.64,0.41,0.41,0.52,0.41,0.41,0.52,0.52,0.52",1,15,rat poison
does rat poison kill possums,90,0,0.01,123,"0.50,1.00,0.78,0.78,0.50,0.50,0.64,0.64,0.64,0.50,0.50,0.64",1,7,rat poison
how does rat poison work,90,0,0.02,44800000,"0.64,0.82,0.82,0.82,0.52,0.64,0.52,0.41,0.41,0.52,0.52,0.41",1,17,rat poison
how does rat poison work on rats,90,0,0.02,18300000,"1.00,1.00,1.00,1.00,0.63,1.00,0.63,0.63,1.00,0.81,0.81,1.00",1,15,rat poison
what does rat poison look like,90,0,0,30300000,"0.63,0.63,0.63,0.81,0.63,0.81,0.81,1.00,1.00,1.00,0.81,1.00",1,39,rat poison
what happens if a dog eats a poisoned rat,90,1.4,0.05,2290000,"0.63,0.63,0.63,0.81,0.81,1.00,0.63,0.63,0.63,0.63,0.63,0.63",1,19,rat poison
what to do if dog eats rat poison,90,0.68,0.21,0,"0.52,0.41,0.41,0.64,0.41,0.41,0.52,0.52,0.64,0.23,0.52,0.41",1,22,rat poison
will rat poison kill a possum,90,0,0.01,350000,"0.50,1.00,0.78,0.78,0.50,0.50,0.64,0.64,0.50,0.50,0.50,0.64",1,8,rat poison
how to get rid of rats without poison,50,0.79,1,202,"0.01,0.04,0.03,0.03,0.02,0.04,0.04,0.01,0.02,0.04,0.03,0.03",1,19,rat poison
what are the first signs of rat poisoning in dogs,50,0,0.02,3160000,"1.00,0.18,0.18,0.18,1.00,1.00,1.00,0.00,0.00,0.81,0.81,0.81",1,16,rat poison
what would rat poison do to a human,50,0,0.33,0,"0.14,0.64,0.14,0.64,0.14,0.14,0.78,1.00,0.14,0.14,0.14,0.14",,0,rat poison
does rat poison kill,40,0,0.33,0,"0.78,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0,rat poison
how long does rat poison take to show in dogs,40,0,0.33,0,"1.00,0.80,1.00,0.80,1.00,0.60,0.60,0.80,1.00,0.80,0.60,0.40",,0,rat poison
is strychnine still used in rat poison,40,0,0.33,0,"0.82,0.00,0.52,0.00,0.00,0.00,1.00,0.11,0.11,0.00,0.00,0.11",,0,rat poison
what to do if your dog eats rat poison,40,1.43,0.33,0,"0.50,0.50,0.50,0.50,0.14,0.21,0.21,0.14,0.35,0.21,0.14,0.21",,0,rat poison
how do you trap a rat,170,0.58,0.93,125,"0.80,0.65,1.00,1.00,0.80,0.42,0.53,0.53,0.53,0.65,0.65,0.65",1,20,rat trap
how to trap a rat,170,0.58,0.93,67100000,"0.80,0.80,1.00,0.80,0.80,0.53,0.53,0.42,0.53,0.65,0.65,0.65",1,21,rat trap
how do i set a rat trap,90,0,0.16,125,"0.63,0.81,1.00,1.00,0.81,0.63,0.81,0.45,0.63,0.81,0.63,1.00",1,39,rat trap
how do you set a rat trap,90,0,0.16,47900000,"0.63,0.81,1.00,1.00,0.81,0.63,0.81,0.45,0.63,0.81,0.63,1.00",1,41,rat trap
how do you set up a rat trap,90,0,0.2,57400000,"0.63,0.81,1.00,1.00,0.81,0.63,0.81,0.45,0.63,0.81,0.63,1.00",1,40,rat trap
how set rat trap,90,0,0.16,32100000,"0.09,0.12,0.15,0.15,0.12,0.09,0.12,0.06,0.09,0.12,0.09,0.15",1,36,rat trap
how to set a rat trap,90,0,0.16,0,"0.41,0.64,0.82,0.64,0.64,0.52,0.64,0.29,0.41,0.64,0.41,0.82",1,31,rat trap
how to set up a rat trap,90,0,0.2,55700000,"0.50,0.78,0.64,0.78,0.64,0.50,0.64,0.35,0.50,0.64,0.50,0.78",1,31,rat trap
what to put on a rat trap,90,0,0.07,75900000,"0.78,0.78,1.00,1.00,0.64,0.64,0.50,0.35,0.50,0.14,0.50,0.28",1,6,rat trap
are there humane rat traps that capture rats alive,70,0,0,5690000,"0.63,0.63,0.63,0.63,0.81,1.00,0.63",0,8,rat trap
do electric rat traps work on big rats,70,0,0,2070000,"0.00,0.63,0.63,0.63,0.81,0.81,1.00,0.81",1,0,rat trap
how to set rat trap,70,0,0.16,34800000,"0.63,1.00,0.63,1.00,0.63,0.63,0.81,0.18,0.18,1.00,0.18,0.81",1,39,rat trap
what to put in a rat trap,70,0,0.07,80000000,"0.50,0.64,0.50,0.50,0.78,0.50,0.50,0.35,0.50,0.50,0.50,0.50",1,15,rat trap
where should i place rat traps around my home,70,0,0,229,"0.63,0.63,0.63,0.81,1.00,1.00,0.81",1,12,rat trap
are electronic rodent traps effective against rats and mice,50,0,0,0,"0.00,0.00,0.00,0.77,0.77,0.77,0.77,0.77,1.00,0.77",,0,rat trap
are pestrol rat traps reliable,50,0,0,9370,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.71","1,0",17,rat trap
how do you make a rat trap,50,0,0.87,57000000,"0.18,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00",1,36,rat trap
how to build rat traps,50,0,0.87,0,"0.18,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00",1,39,rat trap
how to make a rat trap,50,0,0.61,61100000,"0.11,0.64,0.64,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.29,0.64",1,39,rat trap
what is the best bait for a rat trap,50,0.32,0.66,0,"0.18,0.18,0.18,1.00,0.18,0.27,0.27,0.18,0.27,0.27,1.00,1.00",,0,rat trap
what is a good bait for a rat trap,40,0.32,0.66,0,"0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00",,0,rat trap
what is good bait for rat traps,40,0.32,0.66,0,"0.09,0.09,0.09,0.33,0.09,0.09,0.09,0.09,0.09,0.09,0.42,0.42",,0,rat trap
how does a rat trap car work,30,0,0.33,0,"0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0,rat trap
how to trap rats,30,0.6,0.95,0,"0.23,0.09,0.14,0.04,0.09,0.09,0.14,0.14,0.14,0.14,0.09,0.09",,0,rat trap
what is the best bait for rat traps,30,0.32,0.66,0,"0.00,0.11,0.22,0.77,0.22,0.22,0.00,0.22,0.22,0.22,1.00,1.00",,0,rat trap
are huntsman spiders venomous,1900,0.05,0.01,603000,"0.66,0.52,0.36,0.27,0.20,0.27,0.24,0.36,0.66,0.66,0.66,0.80","1,0",20,huntsman spider
are huntsman spiders dangerous,1300,0.03,0.01,804000,"0.44,0.36,0.24,0.16,0.07,0.13,0.16,0.27,0.44,0.36,0.36,0.52",1,21,huntsman spider
do huntsman spiders bite,1300,0.02,0.01,954000,"0.55,0.44,0.30,0.24,0.13,0.20,0.20,0.44,0.55,0.55,0.65,0.82",1,21,huntsman spider
can huntsman spiders bite,880,0.03,0.03,144,"0.52,0.46,0.31,0.37,0.25,0.31,0.20,0.52,0.68,0.68,0.68,0.84",1,9,huntsman spider
what do huntsman spiders eat,590,0.77,0.02,144,"0.67,0.55,0.36,0.30,0.16,0.20,0.20,0.30,0.45,0.55,0.55,0.67",1,24,huntsman spider
are huntsman spider dangerous -ai,480,0.02,0.03,0,"0.72,0.59,0.39,0.26,0.14,0.21,0.26,0.48,0.72,0.59,0.59,0.00",1,20,huntsman spider
do huntsman spiders make webs,480,0.82,0.01,126,"0.48,0.48,0.39,0.32,0.21,0.26,0.21,0.39,0.72,0.88,0.72,1.00",1,29,huntsman spider
how long do huntsman spiders live,480,0.98,0.01,140,"1.00,0.81,0.54,0.36,0.29,0.29,0.29,0.44,0.67,0.67,0.81,1.00",1,28,huntsman spider
are huntsman spiders poisonous,390,0.02,0.02,144,"0.54,0.44,0.23,0.15,0.19,0.19,0.23,0.36,0.67,0.67,0.81,0.81",1,22,huntsman spider
how long does a huntsman spider live,320,0.98,0.01,8870000,"0.54,0.44,0.29,0.19,0.19,0.15,0.23,0.29,0.29,0.54,0.67,1.00",1,28,huntsman spider
what does the huntsman spider eat,320,0.77,0.02,139,"0.44,0.36,0.36,0.29,0.19,0.19,0.19,0.29,0.29,0.44,0.54,0.44",1,20,huntsman spider
do huntsman spiders jump,260,0,0,296000,"0.54,0.66,0.28,0.11,0.11,0.15,0.18,0.35,0.66,0.66,0.66,1.00",1,26,huntsman spider
do huntsman spiders spin webs,260,0.82,0.01,111,"0.17,0.26,0.17,0.14,0.14,0.11,0.14,0.09,0.59,0.48,0.59,1.00",1,25,huntsman spider
can huntsman spiders jump,210,0,0,708000,"0.54,0.66,0.35,0.14,0.14,0.18,0.18,0.35,0.66,0.66,0.81,1.00",1,28,huntsman spider
does huntsman spider jump,210,0,0,123,"0.54,0.35,0.22,0.00,0.14,0.14,0.18,0.43,0.66,0.66,0.81,1.00",1,25,huntsman spider
does the huntsman spider bite,210,0.02,0.01,1430000,"0.00,0.00,0.34,0.30,0.00,0.03,0.08,0.00,0.00,0.00,0.00,1.00",1,29,huntsman spider
how big do huntsman spiders get,210,0,0.01,6870000,"0.43,0.53,0.34,0.28,0.65,0.65,0.65,0.65,1.00,0.81,0.81,0.81",1,44,huntsman spider
is a huntsman spider dangerous,210,0.02,0.02,1390000,"0.43,0.43,0.35,0.28,0.17,0.28,0.28,0.53,0.82,1.00,0.82,0.82",1,24,huntsman spider
can huntsman spiders kill you,170,0,0.01,145,"0.10,0.07,0.05,0.04,0.02,0.03,0.02,0.05,0.08,0.10,0.20,0.20",1,23,huntsman spider
how big can a huntsman spider get,170,0,0,12600000,"0.53,0.53,0.28,0.28,0.53,1.00,0.65,0.65,0.65,0.53,0.81,0.81",1,44,huntsman spider
how big can huntsman spiders get,170,0,0,8680000,"0.08,0.06,0.06,0.06,0.16,0.20,0.10,0.13,0.13,0.13,0.13,0.16",1,46,huntsman spider
how do you get rid of huntsman spiders,170,0.8,0.26,143,"0.81,0.34,0.34,0.21,0.15,0.15,0.21,0.53,0.81,0.65,0.65,0.81",1,2,huntsman spider
how to get rid of huntsman spiders,170,0.8,0.26,1250000,"0.66,0.35,0.18,0.14,0.10,0.18,0.22,0.35,0.54,0.54,0.54,0.43",1,6,huntsman spider
is huntsman spider dangerous,170,0.03,0.03,1480000,"0.43,0.53,0.43,0.34,0.21,0.34,0.34,0.65,1.00,1.00,1.00,1.00",1,23,huntsman spider
are huntsman spider dangerous,140,0.02,0.03,144,"0.28,0.34,0.28,0.15,0.15,0.21,0.15,1.00,0.43,0.43,0.81,0.81",1,11,huntsman spider
are wolf spiders toxic,1300,0.02,0.01,1490000,"0.68,0.84,0.84,0.52,0.31,0.07,0.31,0.68,1.00,0.84,0.00,0.00",1,41,wolf spider
are wolf spiders dangerous,1000,0,0,3380000,"0.81,0.36,0.45,0.45,0.24,0.36,0.45,0.81,0.81,1.00,0.81,0.55",1,30,wolf spider
are wolf spiders poisonous,1000,0,0,1700000,"0.81,0.36,0.55,0.55,0.24,0.45,0.36,0.45,0.81,0.81,0.81,1.00",1,37,wolf spider
are wolf spiders harmful,390,0,0,812000,"0.36,0.45,0.45,0.06,0.20,0.16,0.30,0.30,0.20,0.20,0.36,0.16",1,17,wolf spider
are wolf spider venomous,320,0.02,0.01,125,"0.30,0.24,0.24,0.24,0.20,0.10,0.24,0.30,0.30,0.36,0.05,0.06",1,38,wolf spider
are wolf spiders venomous,260,0,0,1380000,"0.43,0.54,0.54,0.35,0.29,0.35,0.43,0.43,0.81,0.81,0.81,1.00",1,28,wolf spider
are wolf spiders deadly,210,0,0,1650000,"0.43,0.53,0.65,0.65,0.34,0.43,0.43,0.43,0.81,1.00,1.00,1.00",1,46,wolf spider
is a wolf spider dangerous,170,0,0,14600000,"0.53,0.43,0.43,0.34,0.21,0.21,0.34,0.34,0.81,0.65,0.81,1.00",1,43,wolf spider
is the wolf spider deadly,170,0,0,4940000,"0.43,0.34,0.43,0.34,0.21,0.21,0.34,0.65,0.81,0.65,0.81,1.00",1,39,wolf spider
are wolf spider poisonous,140,0.02,0.01,144,"0.03,0.02,0.03,0.02,0.00,0.00,0.01,0.02,1.00,0.13,0.05,0.06",1,28,wolf spider
is a wolf spider deadly,140,0,0,7560000,"0.43,0.34,0.43,0.34,0.28,0.21,0.34,0.28,0.53,0.65,0.81,1.00",1,45,wolf spider
is a wolf spider poisonous,140,0,0.01,0,"0.18,0.29,0.22,0.14,0.10,0.14,0.22,0.35,0.66,0.43,0.54,0.66",1,18,wolf spider
is a wolf spider venomous,140,0,0,12200000,"0.28,0.23,0.17,0.23,0.17,0.17,0.28,0.28,0.53,0.43,0.53,0.66",1,18,wolf spider
is the wolf spider venomous,140,0,0.01,10600000,"0.43,0.34,0.43,0.34,0.21,0.21,0.34,0.28,0.53,0.65,0.81,1.00",1,25,wolf spider
can a wolf spider bite,110,0,0.01,8510000,"0.64,0.52,0.64,0.41,0.29,0.29,0.41,0.64,0.82,0.64,1.00,1.00",1,50,wolf spider
do wolf spiders bite,110,0,0.01,4890000,"0.11,0.11,0.11,0.07,0.05,0.05,0.07,0.11,0.14,0.11,0.17,0.17",1,51,wolf spider
does a wolf spider bite,110,0,0.01,144,"0.42,0.34,0.42,0.26,0.19,0.19,0.26,0.42,0.53,0.42,0.65,0.65",1,49,wolf spider
does the wolf spider bite,110,0,0,5400000,"0.42,0.34,0.42,0.26,0.19,0.19,0.26,0.42,0.53,0.42,0.65,0.65",1,62,wolf spider
will wolf spiders bite,110,0,0.01,0,"0.64,0.52,0.64,0.41,0.29,0.29,0.41,0.64,0.82,0.64,1.00,1.00",1,60,wolf spider
are wolf spiders in australia,90,0,0,4520000,"0.03,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.04,0.05,0.05,0.05",1,17,wolf spider
are wolf spiders poisonous to dogs,90,0,0.33,0,"0.64,0.50,0.64,0.50,0.28,0.28,0.50,0.28,0.78,0.78,0.78,1.00",1,13,wolf spider
can wolf spiders bite,90,0,0.01,0,"0.41,0.29,0.41,0.52,0.29,0.29,0.41,0.52,0.64,0.64,0.82,1.00",1,39,wolf spider
can wolf spiders kill you,90,0,0,5400000,"0.18,0.18,0.18,0.05,0.03,0.05,0.11,0.18,0.18,0.23,0.18,0.23",1,32,wolf spider
how big is the wolf spider,90,0,0,123,"0.63,0.63,0.45,0.63,0.63,0.45,0.81,0.81,0.81,0.81,1.00,1.00",1,30,wolf spider
