Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_query
termite treatment joondalup,10,0,0,0,"0.00,0.00,0.00,0.20,0.20,1.00,0.00,0.20,0.00,0.00,0.00,0.00",,0,termite treatment joondalup
termite treatment near me,320,5.46,0.61,16600000,"0.44,0.54,0.81,0.66,0.81,0.44,0.44,0.54,0.44,0.66,0.35,0.66",3,17,termite treatment near me
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,termite treatment perth
termite treatment scarborough,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite treatment scarborough
termite treatment wa,10,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.25,0.25",,0,termite treatment wa
termite treatment warwick,0,0,0.29,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite treatment warwick
termite treatment westminster,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite treatment westminster
termite vs ant,210,0.37,0.03,0,"0.35,0.35,0.66,0.28,0.23,0.28,0.28,0.35,0.35,0.35,0.44,0.44","1,0",17,termite vs ant
wasp removal,590,4.16,0.89,19200000,"0.55,0.45,0.30,0.16,0.08,0.36,0.36,0.36,0.30,0.45,0.45,1.00",1,22,wasp removal
wasp removal near me,480,4.54,0.89,4600000,"0.76,0.20,0.10,0.08,0.03,0.03,0.03,1.00,0.76,0.67,0.13,0.30",3,12,wasp removal near me
wasp removal perth,170,3.24,0.96,125,"0.28,0.17,0.28,0.12,0.10,0.53,0.53,0.53,0.66,0.66,0.82,1.00",1,8,wasp removal perth
what does termite damage look like,210,0.53,0.05,12900000,"0.65,0.65,0.65,0.65,0.53,0.80,1.00,1.00,1.00,0.80,1.00,0.80",1,12,what does termite damage look like
white tail spider bite,8100,0.03,0.01,7820000,"0.44,0.44,0.29,0.24,0.29,0.24,0.19,0.36,0.36,0.44,0.44,0.54",1,27,white tail spider bite
white-tail spider treatment,50,1.28,0.33,0,"0.17,0.17,0.11,0.11,0.11,0.17,0.29,0.82,1.00,0.23,0.29,0.41",,0,white-tail spider treatment
